"plot_number","prow","pcol","grow","gcol","subplot"
377,22,"1",1,1,3
377,22,"1",1,2,2
377,22,"1",1,3,1
340,22,"2",1,1,3
340,22,"2",1,2,2
340,22,"2",1,3,1
162,22,"3",1,1,3
162,22,"3",1,2,2
162,22,"3",1,3,1
147,22,"4",1,1,3
147,22,"4",1,2,2
147,22,"4",1,3,1
134,22,"5",1,1,3
134,22,"5",1,2,2
134,22,"5",1,3,1
119,22,"6",1,1,3
119,22,"6",1,2,2
119,22,"6",1,3,1
106,22,"7",1,1,3
106,22,"7",1,2,2
106,22,"7",1,3,1
91,22,"8",1,1,3
91,22,"8",1,2,2
91,22,"8",1,3,1
78,22,"9",1,1,3
78,22,"9",1,2,2
78,22,"9",1,3,1
63,22,"10",1,1,3
63,22,"10",1,2,2
63,22,"10",1,3,1
50,22,"11",1,1,3
50,22,"11",1,2,2
50,22,"11",1,3,1
35,22,"12",1,1,3
35,22,"12",1,2,2
35,22,"12",1,3,1
22,22,"13",1,1,3
22,22,"13",1,2,2
22,22,"13",1,3,1
7,22,"14",1,1,3
7,22,"14",1,2,2
7,22,"14",1,3,1
378,23,"1",1,1,3
378,23,"1",1,2,2
378,23,"1",1,3,1
339,23,"2",1,1,3
339,23,"2",1,2,2
339,23,"2",1,3,1
163,23,"3",1,1,3
163,23,"3",1,2,2
163,23,"3",1,3,1
146,23,"4",1,1,3
146,23,"4",1,2,2
146,23,"4",1,3,1
135,23,"5",1,1,3
135,23,"5",1,2,2
135,23,"5",1,3,1
118,23,"6",1,1,3
118,23,"6",1,2,2
118,23,"6",1,3,1
107,23,"7",1,1,3
107,23,"7",1,2,2
107,23,"7",1,3,1
90,23,"8",1,1,3
90,23,"8",1,2,2
90,23,"8",1,3,1
79,23,"9",1,1,3
79,23,"9",1,2,2
79,23,"9",1,3,1
62,23,"10",1,1,3
62,23,"10",1,2,2
62,23,"10",1,3,1
51,23,"11",1,1,3
51,23,"11",1,2,2
51,23,"11",1,3,1
34,23,"12",1,1,3
34,23,"12",1,2,2
34,23,"12",1,3,1
23,23,"13",1,1,3
23,23,"13",1,2,2
23,23,"13",1,3,1
6,23,"14",1,1,3
6,23,"14",1,2,2
6,23,"14",1,3,1
922,24,"1",1,1,3
922,24,"1",1,2,2
922,24,"1",1,3,1
338,24,"2",1,1,3
338,24,"2",1,2,2
338,24,"2",1,3,1
164,24,"3",1,1,3
164,24,"3",1,2,2
164,24,"3",1,3,1
145,24,"4",1,1,3
145,24,"4",1,2,2
145,24,"4",1,3,1
136,24,"5",1,1,3
136,24,"5",1,2,2
136,24,"5",1,3,1
117,24,"6",1,1,3
117,24,"6",1,2,2
117,24,"6",1,3,1
108,24,"7",1,1,3
108,24,"7",1,2,2
108,24,"7",1,3,1
89,24,"8",1,1,3
89,24,"8",1,2,2
89,24,"8",1,3,1
80,24,"9",1,1,3
80,24,"9",1,2,2
80,24,"9",1,3,1
61,24,"10",1,1,3
61,24,"10",1,2,2
61,24,"10",1,3,1
52,24,"11",1,1,3
52,24,"11",1,2,2
52,24,"11",1,3,1
33,24,"12",1,1,3
33,24,"12",1,2,2
33,24,"12",1,3,1
24,24,"13",1,1,3
24,24,"13",1,2,2
24,24,"13",1,3,1
5,24,"14",1,1,3
5,24,"14",1,2,2
5,24,"14",1,3,1
921,25,"1",1,1,3
921,25,"1",1,2,2
921,25,"1",1,3,1
337,25,"2",1,1,3
