"plot","block","Entry","Name","Pedigree"
127,1,309,"TX20CAS1075","TX14OCS5208/TX09CS031//TX15OCS6137"
128,1,205,"TX09CS058","TX92M1505/TX83Ab2923//TX93Ab693=H833Sel"
129,1,321,"LA17069SBSS-2-1","LA09015SBS-U4 / LA16170,F1 (TX14OCS5160 / HZN 306 )"
130,1,103,"LA08085SBSBS-48","UFRGS 046048-1 F6/FL0206FSB-34-S1-B-S1"
131,1,339,"FLLA17071-7","LA10001SSBS-20 / LA99017"
132,1,159,"NC14-1605","NC03-2567 / SS76-40"
133,1,259,"FL13126-69","BW 837/LA06014SBSBSBSB-34 (LA02079-S-B-69-S2/LA05006,F1(LA9339/TAMO 405))"
134,1,331,"LA17153SBSS-46-1","NC12-3447 / LA09015SBS-U4"
135,1,196,"TX02U 7473","TX94Ab343/TAMO386ERB"
136,1,161,"NC14-1619","BYDV-135 / Gerard 224"
137,1,62,"LA06059SBS-84-S1","TAMO 405/HZN LA976"
138,1,310,"TX20CAS1077","TX14OCS5208/TX09CS031//TX15OCS6137"
139,1,181,"NC14-1985","SS76-40 / NC05-5455"
140,1,417,"TX20CAS1076","TX14OCS5208/TX09CS031//TX15OCS6137"
141,1,268,"FLLA17074-47","LA10001SSBS-20 / MN2013BT1020-1-1"
142,1,242,"FL13088-4","BW 08- 31/LA06046SS-N2-Ab2 (P973A38-3-6 = ROBUST/LA90105-C4-1-1-1-2-1)"
143,1,393,"FLLA17158-30","FL0720-R6 / LA10041SSBS-80"
144,1,217,"TX14OCS5036","TX08Cas1809//TAMO406"
145,1,373,"FLLA17025-20","HZN 306  / LA10041SSBS-80"
146,1,304,"TX20CAS1034","TX14OCS5086/LA14036S"
147,1,57,"LA05011GSBS-30","TAMO405/LA99016"
148,1,259,"FL13126-69","BW 837/LA06014SBSBSBSB-34 (LA02079-S-B-69-S2/LA05006,F1(LA9339/TAMO 405))"
149,1,200,"TX05CS 347-2","TAMO 405/Plot Spike LA9339"
150,1,278,"FLLA17158-4","FL0720-R6 / LA10041SSBS-80"
151,1,224,"TX14OCS5065","05CS347-1//TX02U7605"
152,1,84,"LA07052SBSBSBS-1-S1","LA99017SBSB-46  /  SD020707"
153,1,283,"FLLA17047-55","LA09015SBS-U1 / LA16067,F1 (LA07059SBSBSB-44 / NC12-3578)"
154,1,153,"NC14-1533","NC02-8247 / SS76-40"
155,1,64,"LA06059SBSBSB-97-S","TAMO 405/LA99016"
156,1,337,"FLLA17069-52","LA09015SBS-U4 / LA99016"
157,1,352,"TX19CAS0032","LA07005SSBSB12//LA07007SBSBSB-18/TX09CS058"
158,1,74,"LA07024SBSBSBS-7-S1","LA02029SBSBS48/LA06030,F1 (HZN 270/LA90105-C4-1-1-1-2-1)"
159,1,168,"NC14-1767","Gerard 224 / NC03-5579N"
160,1,170,"NC14-1787","Wintok / Caballo"
161,1,71,"LA07007SBSBSB-24","FL0206FSB-34-S2/LA06070,F1 (UFRGS046048-1/HZN 270)"
162,1,221,"TX14OCS5050","TAMO406//TX00D110"
163,1,30,"FL99084-J2","TX96D210FL/98008 F1(LA90151-BB-11-2-1/UFRGS 940556)"
164,1,400,"FLLA16179-3","TX14OCS5212 / LA15044,F1,(HZN 306 (LA05006) / LA08048SBSBS-15)"
165,1,73,"LA07023SBS-FS5-Ab1","LA02029SBSBS48/LA06022,F1 (LA9339/UFRGS 028152-1)"
166,1,232,"TX14OCS5182","Plot Spike//TX07CS425"
167,1,371,"SCLA17048SBS-16-2","LA08084SBSBS-15 / LA10044SSBS-1"
168,1,374,"FLLA17029-66","HZN 306  / LA16044,F1 (HZN 306  / FL0720-R6)"
169,1,102,"LA08085BS-T4","UFRGS 046048-1 F6/FL0206FSB-34-S1-B-S1"
170,1,302,"TX20CAS1024","FLO522/TX07CS2783//TAMO405/LA9339(PS)///LA05011GSBS-30/TX02D079"
171,1,113,"LA09026SBS-U3","HZN LA976/MN06120"
172,1,387,"FLLA17100-5","LA10044SSBS-1 / LA16095,F1 (LA09015SBS-U2 / TX14OCS5212)"
173,1,313,"LA17031SBS-58-1","HZN 306  / LA16049,F1 (HZN 306  / UFRGS 087045-3)"
174,1,422,"LA17008SBSS-9-1","BW 08-5 / LA16160,F1 (SD110304 / TX14OCS5212)"
175,1,324,"LA17088SBSS-15-1","LA10041SSBS-80 / LA16165,F1 (TX09CS065 / BW 08-5)"
176,1,428,"LA17067SBSS-44-1","LA09015SBS-U4 / LA10001SSBS-20"
177,1,382,"FLLA17069-73","LA09015SBS-U4 / LA99016"
178,1,2,"BOB","Nora/Florida 501"
179,1,256,"FL13123-73","FL06082-N6-Ab1 (TAMO 406/FL99175-H5 (TX93AB693/Plot Spike LA9339))/Bw 13"
180,1,275,"FLLA17119-74","MN11211 (SA081654)2 / NC12-3447"
181,1,234,"Winter Fulghum","sel. From Fulghum (C.I. 699) (Richland/Richland)/sel. From Fulghum (C.I. 699) (Richland/Richland)"
182,1,292,"FLLA16056-4","LA06059SBSBSB-46 / LA15120,F1,(TX09CS049 / LA07065SBSBSB-32)"
183,1,408,"TX20CAS1044","TX14OCS5159/LA07070SBSBSBS-65-S1"
184,1,19,"FL0923-U2","MN 06133 (Sask01T-602-05-06/MN01117)/F1 FL0852 (FL0748 F1(Ave. 135.02/SD030888 (SD97039//SD96280/OT275)) /LA97006GSB-59-2-4-SBS1 (FL92OHR26763/TX93M2107))"
185,1,175,"NC14-1832","SS76-40 / NC02-8057"
186,1,266,"FLLA17069-41","LA09015SBS-U4 / LA99016"
187,1,28,"FL1049-3","FL03262-L1(Bw501/LA9818IBIB-I2-B)/UPF97H2200-7-2"
188,1,14,"FL03254-L1","LA982IBI-64(833/TAMO 397)/UFRGS 028155"
