fid,prow,pcol,grow,gcol,5-12-24_count,5-12-24_sum,5-12-24_mean
"727","18","5","1","1",2962,597.861358642578,0.201843807779398
"728","18","5","1","2",2950,613.337677001953,0.207911076949815
"729","18","5","1","3",2956,545.968627929688,0.184698453291505
"730","18","6","1","1",2953,558.602844238281,0.189164525647911
"731","18","6","1","2",2956,534.425903320312,0.180793607347873
"732","18","6","1","3",2960,363.973999023438,0.122964188859269
"733","18","7","1","1",2962,673.009887695312,0.227214681868775
"734","18","7","1","2",2954,656.497344970703,0.222240130321836
"735","18","7","1","3",2953,550.480133056641,0.186413861515964
"736","18","8","1","1",2953,768.380920410156,0.260203494889995
"737","18","8","1","2",2952,738.529022216797,0.250179208068021
"738","18","8","1","3",2962,717.105010986328,0.242101624235762
"739","18","9","1","1",2955,886.702728271484,0.300068605168015
"740","18","9","1","2",2961,846.141998291016,0.285762241908482
"741","18","9","1","3",2952,776.364166259766,0.262995991280408
"742","18","10","1","1",2961,708.534973144531,0.239289082453405
"743","18","10","1","2",2950,677.809204101562,0.229765831898835
"744","18","10","1","3",2959,691.078582763672,0.233551396675793
"745","18","11","1","1",2953,821.545318603516,0.278207016120391
"746","18","11","1","2",2959,848.004699707031,0.286584893446107
"747","18","11","1","3",2957,773.776031494141,0.261676033646987
"748","18","12","1","1",2962,1030.23138427734,0.347816132436645
"749","18","12","1","2",2957,1072.09292602539,0.362561016579435
"750","18","12","1","3",2950,778.931457519531,0.264044561871028
"751","18","13","1","1",2952,1082.94387817383,0.366850907240457
"752","18","13","1","2",2956,1104.85668945312,0.373767486283195
"753","18","13","1","3",2958,1162.31854248047,0.39294068373241
"754","18","14","1","1",2960,532.809997558594,0.180003377553579
"755","18","14","1","2",2959,504.793151855469,0.170595860714927
"756","18","14","1","3",2951,429.383728027344,0.145504482557555
"757","19","1","1","1",2959,732.304962158203,0.247483934490775
"758","19","1","1","2",2951,823.282592773438,0.278984274067583
"759","19","1","1","3",2961,824.162933349609,0.27833938985127
"760","19","2","1","1",2951,667.481536865234,0.226188253766599
"761","19","2","1","2",2964,820.460205078125,0.276808436261176
"762","19","2","1","3",2955,755.469757080078,0.255658124223377
"763","19","3","1","1",2960,475.333435058594,0.160585619952228
"764","19","3","1","2",2955,718.205688476562,0.243047610313558
"765","19","3","1","3",2954,785.826538085938,0.266021170645206
"766","19","4","1","1",2952,365.639831542969,0.123861731552496
"767","19","4","1","2",2957,627.748199462891,0.212292255482885
"768","19","4","1","3",2961,777.939727783203,0.262728715901116
